Data:  2015/11/24
Czas:  1:58:37


liczba pomiarow=1882
czas probkowania=1.00
 cisn  , sila  , sila  , przem , przem , przem , przem , przem ,
-5.293,0.413,0.388,-0.002,0.000,0.000,-0.000,0.000,
-5.293,0.414,0.391,-0.002,0.000,0.000,-0.000,-0.000,
-5.250,0.416,0.355,-0.003,0.000,0.000,-0.000,0.001,
-5.068,0.417,0.409,-0.002,0.000,0.000,-0.000,0.000,
-4.221,0.425,0.424,-0.003,0.000,0.000,-0.000,0.000,
-3.544,0.448,0.438,-0.002,0.000,0.000,-0.000,-0.000,
-3.521,0.470,0.454,-0.003,0.000,0.000,-0.000,0.000,
-3.648,0.470,0.430,-0.003,0.000,0.000,-0.000,0.000,
-3.437,0.477,0.437,-0.002,0.000,0.000,-0.000,0.000,
-3.295,0.478,0.469,-0.002,0.000,0.000,-0.000,0.000,
-3.257,0.488,0.462,-0.002,0.000,0.000,-0.000,-0.000,
-3.191,0.488,0.490,-0.002,0.000,0.000,-0.000,0.000,
-3.114,0.490,0.435,-0.002,0.000,0.000,-0.000,-0.000,
-3.132,0.498,0.484,-0.002,0.000,0.000,-0.000,0.000,
-2.530,0.546,0.533,-0.002,0.000,0.000,-0.000,0.000,
-2.430,0.587,0.588,-0.002,0.000,0.000,-0.000,0.000,
-2.299,0.595,0.587,-0.002,0.000,0.000,-0.000,0.000,
-2.382,0.604,0.578,-0.002,0.000,0.000,-0.000,0.000,
-2.248,0.609,0.578,-0.002,0.000,0.000,-0.000,0.000,
-2.113,0.613,0.559,-0.002,0.000,0.000,-0.000,0.001,
-1.728,0.664,0.644,-0.002,0.000,0.000,-0.000,0.000,
-2.195,0.670,0.671,-0.002,0.000,0.000,-0.000,-0.000,
-2.263,0.672,0.652,-0.002,0.000,0.000,-0.000,0.000,
-2.318,0.661,0.649,-0.002,-0.000,0.000,-0.000,0.000,
-2.113,0.666,0.619,-0.002,0.000,0.000,-0.000,0.000,
-1.824,0.673,0.650,-0.002,0.000,0.000,-0.000,0.000,
-1.789,0.678,0.634,-0.002,-0.000,0.000,-0.000,0.000,
-1.739,0.685,0.660,-0.002,-0.000,0.000,-0.000,0.000,
-1.626,0.682,0.675,-0.002,0.000,0.000,-0.000,-0.000,
-1.499,0.689,0.668,-0.002,-0.000,0.000,-0.000,0.000,
-0.865,0.747,0.714,-0.001,-0.000,0.000,-0.000,-0.000,
-0.598,0.798,0.771,-0.002,-0.000,0.000,-0.000,0.000,
-0.591,0.818,0.805,-0.002,-0.000,0.000,-0.000,0.000,
-0.401,0.821,0.782,-0.002,-0.000,0.000,-0.000,0.000,
-0.441,0.825,0.791,-0.002,-0.000,0.000,-0.000,0.000,
-0.149,0.839,0.837,-0.002,-0.000,0.000,-0.000,-0.000,
0.343,0.902,0.892,-0.002,-0.000,0.000,-0.000,-0.000,
0.469,0.916,0.908,-0.002,-0.000,0.000,-0.000,0.000,
0.485,0.932,0.888,-0.002,-0.000,0.000,-0.000,0.000,
0.583,0.933,0.912,-0.002,-0.000,0.000,-0.000,0.000,
0.767,0.947,0.886,-0.002,-0.000,0.000,-0.000,0.000,
0.831,0.987,0.967,-0.002,-0.000,0.000,-0.000,0.000,
0.453,0.985,0.970,-0.002,-0.000,0.000,-0.000,-0.000,
0.450,0.986,0.957,-0.002,-0.000,0.000,-0.000,0.000,
0.472,0.982,0.972,-0.002,-0.000,0.000,-0.000,0.000,
0.558,0.981,0.963,-0.002,-0.000,0.000,-0.000,0.000,
0.782,0.986,0.942,-0.002,-0.000,0.000,-0.000,0.000,
0.974,0.986,0.936,-0.002,-0.000,0.000,-0.000,-0.000,
0.980,0.990,0.979,-0.002,-0.000,0.000,-0.000,0.000,
1.025,0.997,0.986,-0.002,-0.000,0.000,-0.000,0.000,
1.018,1.007,0.963,-0.002,-0.000,0.000,-0.000,-0.000,
1.336,1.018,1.002,-0.002,-0.000,0.000,-0.000,-0.000,
2.039,1.099,1.080,-0.002,-0.000,0.000,-0.000,-0.000,
2.124,1.131,1.125,-0.002,-0.000,0.000,-0.000,0.000,
2.260,1.137,1.071,-0.002,-0.000,0.000,-0.000,0.000,
2.225,1.147,1.146,-0.002,-0.000,0.000,-0.000,-0.000,
2.530,1.164,1.151,-0.002,-0.000,0.000,-0.000,0.000,
2.484,1.205,1.177,-0.002,-0.000,0.000,-0.000,0.000,
2.165,1.200,1.207,-0.002,-0.000,0.000,-0.000,-0.000,
1.902,1.197,1.171,-0.002,-0.000,0.000,-0.000,-0.000,
1.999,1.195,1.162,-0.002,-0.000,0.000,-0.000,-0.000,
2.063,1.194,1.139,-0.002,-0.000,0.000,-0.000,-0.000,
2.466,1.201,1.171,-0.002,-0.000,0.000,-0.000,-0.000,
2.394,1.204,1.186,-0.002,-0.000,0.000,-0.000,0.000,
2.447,1.203,1.178,-0.002,-0.000,0.000,-0.000,0.000,
2.395,1.200,1.176,-0.002,-0.000,0.000,-0.000,-0.000,
2.519,1.204,1.180,-0.002,-0.000,0.000,-0.000,-0.000,
2.756,1.221,1.211,-0.002,-0.000,0.000,-0.000,0.000,
3.630,1.307,1.281,-0.002,-0.000,0.000,-0.000,0.000,
3.734,1.345,1.332,-0.003,-0.000,0.000,-0.000,-0.000,
3.805,1.356,1.343,-0.002,-0.000,0.000,-0.000,0.000,
3.802,1.369,1.344,-0.002,-0.000,0.000,-0.000,0.000,
4.153,1.380,1.379,-0.002,-0.000,0.000,-0.000,-0.000,
4.322,1.416,1.357,-0.003,-0.000,0.000,-0.000,0.000,
4.359,1.435,1.379,-0.002,-0.000,0.000,-0.000,-0.000,
4.372,1.434,1.424,-0.002,-0.000,0.000,-0.000,-0.000,
4.416,1.448,1.418,-0.003,-0.000,0.000,-0.000,-0.000,
4.725,1.462,1.429,-0.002,-0.000,0.000,0.000,-0.000,
4.520,1.479,1.454,-0.003,-0.000,0.000,-0.000,-0.000,
4.040,1.475,1.440,-0.003,-0.000,0.000,-0.000,-0.000,
3.859,1.445,1.403,-0.003,-0.000,0.000,0.000,-0.000,
3.918,1.444,1.441,-0.003,-0.000,0.000,0.000,-0.000,
3.714,1.463,1.449,-0.003,-0.000,0.000,-0.000,-0.000,
4.162,1.464,1.438,-0.003,-0.000,0.000,0.000,-0.000,
4.253,1.478,1.446,-0.003,-0.000,0.000,0.000,-0.000,
4.413,1.460,1.410,-0.003,-0.000,0.000,0.000,-0.000,
4.422,1.459,1.440,-0.003,-0.000,0.000,-0.000,-0.000,
4.512,1.468,1.429,-0.003,-0.000,0.000,0.000,0.000,
4.834,1.489,1.472,-0.003,-0.000,0.000,0.000,-0.000,
5.542,1.571,1.572,-0.003,-0.000,0.000,0.000,0.000,
5.661,1.605,1.575,-0.003,-0.000,0.000,0.000,-0.000,
5.766,1.612,1.590,-0.003,-0.000,0.000,0.000,-0.000,
5.739,1.628,1.580,-0.003,-0.000,0.000,-0.000,-0.000,
5.840,1.631,1.641,-0.003,-0.000,0.000,0.000,-0.000,
5.463,1.636,1.607,-0.003,-0.000,0.000,0.000,-0.000,
5.397,1.623,1.614,-0.003,-0.000,0.000,0.000,-0.001,
5.287,1.619,1.600,-0.003,-0.000,0.000,0.000,-0.000,
5.234,1.620,1.561,-0.003,-0.000,0.000,0.000,-0.000,
5.149,1.616,1.584,-0.003,-0.000,0.000,0.000,0.000,
5.424,1.621,1.597,-0.003,-0.000,0.000,0.000,0.000,
