Data:  2015/11/24
Czas:  2:19:42


liczba pomiarow=1166
czas probkowania=1.00
 cisn  , sila  , sila  , przem , przem , przem , przem , przem ,
-5.169,0.412,0.473,-0.008,0.001,0.004,0.001,0.007,
-5.394,0.418,0.469,-0.009,0.002,0.004,0.001,0.009,
-5.456,0.417,0.457,-0.009,0.001,0.004,0.001,0.006,
-5.175,0.428,0.470,-0.008,0.001,0.004,0.001,0.007,
-4.552,0.428,0.465,-0.009,0.001,0.004,0.001,0.008,
-4.206,0.434,0.495,-0.009,0.001,0.004,0.002,0.009,
-4.217,0.437,0.468,-0.009,0.001,0.004,0.002,0.007,
-3.957,0.440,0.456,-0.009,0.001,0.004,0.001,0.007,
-3.909,0.437,0.461,-0.009,0.001,0.004,0.001,0.005,
-3.548,0.455,0.485,-0.009,0.001,0.004,0.001,0.007,
-2.714,0.531,0.573,-0.009,0.001,0.004,0.001,0.007,
-2.065,0.613,0.676,-0.009,0.001,0.004,0.001,0.007,
-1.873,0.641,0.701,-0.010,0.001,0.004,0.001,0.007,
-1.878,0.656,0.690,-0.010,0.001,0.004,0.001,0.007,
-1.824,0.663,0.695,-0.010,0.001,0.004,0.001,0.007,
-1.134,0.710,0.777,-0.010,0.001,0.004,0.001,0.007,
-0.488,0.804,0.872,-0.011,0.001,0.004,0.001,0.006,
-0.499,0.836,0.909,-0.012,0.001,0.004,0.002,0.008,
-0.798,0.833,0.885,-0.011,0.001,0.004,0.002,0.007,
-0.742,0.832,0.882,-0.012,0.001,0.004,0.002,0.006,
-0.651,0.838,0.863,-0.011,0.001,0.004,0.001,0.008,
-0.303,0.840,0.882,-0.011,0.001,0.004,0.001,0.007,
-0.327,0.854,0.917,-0.011,0.001,0.004,0.001,0.006,
-0.205,0.851,0.866,-0.012,0.001,0.004,0.002,0.007,
-0.215,0.856,0.906,-0.012,0.001,0.004,0.001,0.006,
-0.183,0.863,0.875,-0.012,0.001,0.004,0.001,0.009,
0.016,0.867,0.866,-0.012,0.001,0.004,0.001,0.007,
0.613,0.934,0.981,-0.012,0.001,0.004,0.002,0.007,
1.534,1.028,1.082,-0.013,0.001,0.004,0.002,0.007,
2.014,1.089,1.113,-0.014,0.002,0.004,0.002,0.008,
2.155,1.114,1.173,-0.014,0.001,0.004,0.002,0.007,
2.100,1.126,1.140,-0.013,0.002,0.004,0.002,0.007,
2.418,1.147,1.229,-0.013,0.002,0.004,0.001,0.008,
3.290,1.259,1.304,-0.015,0.002,0.004,0.002,0.007,
3.335,1.307,1.350,-0.015,0.002,0.004,0.002,0.007,
2.872,1.298,1.313,-0.015,0.002,0.004,0.002,0.007,
2.723,1.300,1.380,-0.015,0.002,0.004,0.001,0.008,
2.649,1.291,1.365,-0.014,0.002,0.004,0.002,0.008,
2.929,1.299,1.333,-0.015,0.002,0.004,0.002,0.007,
3.085,1.297,1.326,-0.015,0.002,0.004,0.002,0.008,
3.341,1.302,1.333,-0.015,0.002,0.004,0.002,0.007,
3.245,1.295,1.370,-0.015,0.002,0.004,0.002,0.007,
3.343,1.302,1.386,-0.015,0.002,0.004,0.002,0.009,
3.249,1.303,1.360,-0.015,0.002,0.004,0.002,0.005,
3.827,1.336,1.390,-0.015,0.001,0.004,0.002,0.009,
4.766,1.441,1.489,-0.016,0.002,0.004,0.002,0.006,
5.303,1.531,1.562,-0.017,0.002,0.004,0.002,0.007,
5.473,1.561,1.687,-0.017,0.002,0.004,0.002,0.009,
5.477,1.568,1.639,-0.017,0.002,0.004,0.002,0.007,
5.649,1.584,1.589,-0.017,0.002,0.004,0.002,0.008,
6.293,1.652,1.644,-0.017,0.002,0.004,0.002,0.008,
6.739,1.731,1.731,-0.018,0.002,0.005,0.002,0.007,
6.806,1.746,1.836,-0.018,0.002,0.005,0.002,0.007,
6.927,1.765,1.823,-0.018,0.002,0.005,0.002,0.008,
6.881,1.781,1.803,-0.018,0.002,0.005,0.004,0.008,
7.159,1.792,1.875,-0.018,0.002,0.006,0.005,0.006,
7.655,1.870,1.894,-0.019,0.002,0.005,0.005,0.008,
7.129,1.863,1.943,-0.019,0.002,0.005,0.005,0.007,
6.616,1.853,1.869,-0.018,0.002,0.006,0.005,0.007,
6.586,1.844,1.948,-0.018,0.002,0.005,0.005,0.007,
6.451,1.844,1.918,-0.019,0.002,0.005,0.005,0.008,
6.712,1.831,1.894,-0.019,0.002,0.005,0.005,0.007,
6.832,1.850,1.791,-0.019,0.002,0.005,0.005,0.007,
6.990,1.842,1.878,-0.019,0.002,0.005,0.005,0.007,
7.180,1.847,1.900,-0.019,0.002,0.006,0.005,0.008,
7.023,1.839,1.854,-0.019,0.002,0.005,0.005,0.008,
7.269,1.835,1.911,-0.019,0.002,0.006,0.005,0.007,
7.486,1.857,1.954,-0.019,0.002,0.006,0.005,0.009,
8.730,1.967,1.990,-0.020,0.002,0.006,0.005,0.007,
9.264,2.060,2.102,-0.021,0.002,0.006,0.005,0.007,
9.584,2.096,2.161,-0.021,0.002,0.006,0.005,0.008,
9.533,2.110,2.154,-0.021,0.002,0.006,0.005,0.007,
9.695,2.115,2.139,-0.021,0.002,0.006,0.005,0.008,
10.195,2.179,2.243,-0.021,0.002,0.006,0.005,0.008,
9.957,2.212,2.279,-0.021,0.002,0.006,0.005,0.006,
9.401,2.188,2.183,-0.021,0.002,0.006,0.005,0.008,
9.291,2.182,2.341,-0.021,0.002,0.006,0.005,0.006,
8.983,2.174,2.234,-0.021,0.002,0.006,0.005,0.008,
9.161,2.171,2.267,-0.022,0.002,0.006,0.005,0.009,
9.347,2.172,2.320,-0.022,0.002,0.006,0.005,0.007,
9.626,2.168,2.233,-0.021,0.002,0.006,0.005,0.009,
9.628,2.170,2.269,-0.022,0.002,0.006,0.005,0.007,
9.771,2.164,2.255,-0.022,0.002,0.006,0.005,0.007,
9.747,2.164,2.267,-0.022,0.002,0.006,0.005,0.008,
9.875,2.171,2.289,-0.022,0.002,0.006,0.005,0.008,
10.706,2.228,2.357,-0.022,0.002,0.006,0.005,0.011,
11.769,2.360,2.460,-0.022,0.002,0.006,0.005,0.008,
12.129,2.418,2.508,-0.022,0.002,0.006,0.005,0.008,
12.277,2.438,2.551,-0.023,0.002,0.006,0.005,0.007,
12.377,2.456,2.509,-0.024,0.002,0.007,0.005,0.006,
12.556,2.468,2.579,-0.023,0.002,0.007,0.005,0.008,
13.356,2.563,2.697,-0.024,0.002,0.007,0.005,0.008,
13.519,2.597,2.695,-0.024,0.002,0.007,0.007,0.012,
13.545,2.615,2.718,-0.024,0.002,0.007,0.007,0.009,
13.617,2.625,2.715,-0.024,0.002,0.007,0.007,0.011,
13.786,2.638,2.755,-0.024,0.002,0.007,0.007,0.010,
14.052,2.677,2.774,-0.024,0.002,0.007,0.007,0.009,
