Data:  2015/11/24
Czas:  2:37:4


liczba pomiarow=1167
czas probkowania=1.00
 cisn  , sila  , sila  , przem , przem , przem , przem , przem ,
-2.765,0.035,-0.094,-0.000,-0.000,0.000,-0.000,-0.000,
-2.651,0.075,0.248,-0.001,0.000,-0.000,0.000,0.000,
-2.711,0.050,0.262,-0.000,0.000,0.000,0.000,-0.000,
-2.219,0.049,0.194,-0.000,0.000,-0.000,0.000,0.000,
-1.232,0.101,-0.050,-0.000,0.000,0.000,0.000,-0.000,
-0.659,0.125,0.144,-0.000,0.000,-0.000,0.000,-0.000,
-0.194,0.141,0.262,-0.000,0.000,-0.000,-0.000,0.000,
-0.250,0.152,0.312,-0.001,0.000,-0.000,0.000,-0.000,
-0.244,0.139,-0.018,-0.000,0.000,-0.000,-0.000,0.000,
0.203,0.232,0.315,-0.000,0.000,-0.000,-0.000,0.000,
1.162,0.299,0.569,-0.000,0.000,-0.000,-0.000,-0.000,
1.170,0.368,0.288,-0.000,0.000,-0.000,0.000,-0.000,
1.405,0.349,0.230,-0.001,0.000,0.000,0.000,0.000,
1.330,0.376,0.692,-0.000,0.000,-0.000,-0.000,-0.000,
1.596,0.364,0.416,-0.002,0.000,-0.000,-0.000,-0.000,
2.332,0.454,0.478,-0.001,0.000,-0.000,0.000,-0.000,
3.012,0.533,0.608,-0.002,0.000,-0.000,0.000,-0.000,
2.415,0.542,0.954,-0.002,0.000,-0.000,-0.000,-0.000,
2.207,0.554,0.402,-0.002,0.000,-0.000,-0.000,0.000,
1.955,0.529,0.641,-0.002,0.000,-0.000,0.000,-0.000,
2.179,0.569,0.397,-0.002,0.000,-0.000,-0.000,-0.000,
2.536,0.538,0.701,-0.002,0.000,-0.000,0.000,0.000,
2.367,0.525,0.393,-0.001,0.000,-0.000,0.000,-0.000,
2.754,0.544,0.380,-0.002,0.000,-0.000,0.000,-0.000,
2.546,0.521,0.774,-0.002,0.000,-0.000,0.000,0.001,
2.824,0.528,0.558,-0.002,0.000,-0.000,0.000,-0.000,
3.304,0.567,0.510,-0.001,0.000,-0.000,-0.000,0.000,
4.232,0.661,0.835,-0.002,0.000,-0.000,0.000,-0.000,
4.773,0.763,0.766,-0.003,0.000,-0.000,-0.000,0.000,
5.059,0.738,0.522,-0.003,0.000,-0.000,0.000,-0.000,
5.283,0.805,0.794,-0.003,0.000,-0.000,0.000,-0.000,
5.241,0.846,0.949,-0.002,0.000,-0.000,0.000,0.000,
5.813,0.875,0.934,-0.003,0.000,-0.000,-0.000,0.000,
6.338,0.999,0.919,-0.004,0.000,-0.000,0.000,0.000,
5.646,0.972,1.258,-0.003,0.000,-0.000,0.000,0.000,
5.386,0.959,0.962,-0.004,0.000,-0.000,0.000,-0.000,
5.323,0.980,0.988,-0.004,0.000,-0.000,0.000,-0.001,
5.255,0.976,1.015,-0.004,0.000,-0.000,0.000,0.000,
5.641,0.948,0.780,-0.003,0.000,-0.000,-0.000,-0.000,
5.633,0.958,0.809,-0.004,0.000,-0.000,0.000,-0.000,
5.715,0.970,0.864,-0.004,0.000,-0.000,0.000,-0.000,
6.047,0.952,1.139,-0.004,0.000,-0.000,0.000,0.000,
5.745,0.968,1.066,-0.004,0.000,-0.000,0.000,0.001,
6.285,0.966,0.912,-0.003,0.000,-0.000,0.000,-0.000,
7.076,1.047,0.940,-0.004,0.000,-0.000,-0.000,0.000,
8.066,1.168,0.985,-0.004,0.000,-0.000,0.000,-0.000,
8.354,1.235,1.454,-0.005,0.000,-0.000,0.000,-0.000,
8.448,1.253,1.366,-0.005,0.000,-0.000,0.000,0.000,
8.428,1.259,1.424,-0.005,0.000,-0.000,0.000,-0.000,
9.166,1.302,1.205,-0.005,0.000,-0.000,0.000,0.000,
9.628,1.377,1.397,-0.006,0.000,-0.000,0.000,-0.000,
